Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
24/6/2011,1334.75,1354.75,1292.75,1320.25,335842
1/7/2011,1318.25,1350,1290,1312.75,195971
8/7/2011,1318.75,1350.5,1310.5,1346.75,74309
15/7/2011,1350,1397,1334.25,1385.75,113272
22/7/2011,1385.75,1408,1369.75,1380.25,113732
29/7/2011,1369.25,1388,1349,1354.25,127836
5/8/2011,1349.25,1375,1313.5,1328,85477
12/8/2011,1312.75,1349.25,1276.5,1327.75,81846
19/8/2011,1331,1366,1331,1359.75,56142
26/8/2011,1366.5,1418,1362.25,1414.75,85154
2/9/2011,1413.5,1457,1411.25,1445.75,274406
9/9/2011,1433.5,1434.75,1408,1426.75,414002
16/9/2011,1432,1432.25,1350,1355.5,582008
23/9/2011,1356.25,1357.5,1250,1258,640712
30/9/2011,1265.25,1278.75,1175,1179,737442
7/10/2011,1176.25,1189.75,1152,1158.25,660728
14/10/2011,1158.25,1275.75,1158.25,1270,914977
21/10/2011,1269,1272,1201.5,1212.25,718677
28/10/2011,1212,1243,1209.5,1217,462810
4/11/2011,1217,1231.5,1190,1221,365458
11/11/2011,1220.75,1223,1167,1175.5,410503
18/11/2011,1178,1206.25,1152.75,1168.25,447749
25/11/2011,1171,1174.25,1102.75,1106.5,361628
2/12/2011,1114.5,1146,1111.5,1135.75,491750
9/12/2011,1140,1148.5,1100.25,1107,530107
16/12/2011,1108,1132,1094.25,1130,531630
23/12/2011,1137.25,1168,1131.75,1163,354808
30/12/2011,1172.75,1209,1172.75,1198.5,197879
6/1/2012,1233,1244.75,1193.5,1196.5,355986
13/1/2012,1195,1237,1150,1158.25,580942
20/1/2012,1163,1204,1162.75,1187,400879
27/1/2012,1194,1231,1192,1219,427721
3/2/2012,1214.25,1236.5,1184.25,1232.5,521401
10/2/2012,1230.75,1247.5,1215,1229,536485
17/2/2012,1238,1273.25,1232,1267.5,583792
24/2/2012,1271,1284.75,1260,1279,407323
2/3/2012,1278,1333,1276.5,1333,360350
9/3/2012,1330,1355.5,1315.25,1337.75,580027
16/3/2012,1338,1377.5,1331.25,1374,486221
23/3/2012,1374.25,1378,1338.5,1365.75,474369
