Dates,PX_LAST,PX_SETTLE,PX_VOLUME
3/1/2003,577.75,577.75,1127
6/1/2003,577,577,47490
7/1/2003,579.75,579.75,39169
8/1/2003,582,582,39190
9/1/2003,579.75,579.75,33330
10/1/2003,556.75,556.75,78406
13/1/2003,548,548,57826
14/1/2003,550,550,44308
15/1/2003,549.75,549.75,31565
16/1/2003,549,549,44965
17/1/2003,556.75,556.75,29641
20/1/2003,556.75,556.75,29641
21/1/2003,556,556,27995
22/1/2003,560,560,40331
23/1/2003,561.5,561.5,24705
24/1/2003,569,569,35496
27/1/2003,567.25,567.25,36289
28/1/2003,573.25,573.25,30273
29/1/2003,561.25,561.25,38965
30/1/2003,568.5,568.5,31779
31/1/2003,564,564,30576
3/2/2003,568,568,38071
4/2/2003,570.5,570.5,28286
5/2/2003,563,563,31137
6/2/2003,562.5,562.5,25297
7/2/2003,555.75,555.75,36620
10/2/2003,564.75,564.75,34579
11/2/2003,572,572,38418
12/2/2003,563.25,563.25,50870
13/2/2003,571.75,571.75,45760
14/2/2003,573,573,24450
17/2/2003,573,573,24450
18/2/2003,574,574,20454
19/2/2003,571.75,571.75,19220
20/2/2003,568.5,568.5,19283
21/2/2003,574,574,15791
24/2/2003,572.25,572.25,16024
25/2/2003,576.25,576.25,24076
